agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8017400,62614,132500,2017,4,434.96
USGS,8017400,62614,132500,2017,5,435.467
USGS,8017400,62614,132500,2017,6,435.866
USGS,8017400,62614,132500,2017,7,436.072
USGS,8017400,62614,132500,2017,8,436.892
USGS,8017400,62614,132500,2017,9,437.335
USGS,8017400,62614,132500,2017,10,436.873
USGS,8017400,62614,132500,2017,11,436.514
USGS,8017400,62614,132500,2017,12,436.481
USGS,8017400,62614,132500,2018,1,436.751
USGS,8017400,62614,132500,2018,2,437.719
USGS,8017400,62614,132500,2018,3,438.645
USGS,8017400,62614,132500,2018,4,437.736
USGS,8017400,62614,132500,2018,5,437.431
USGS,8017400,62614,132500,2018,6,436.873
USGS,8017400,62614,132500,2018,8,435.489
USGS,8017400,62614,132500,2018,10,438.618
USGS,8017400,62614,132500,2018,11,438.533
USGS,8017400,62614,132500,2018,12,438.319
USGS,8017400,62614,132500,2019,1,438.571
USGS,8017400,62614,132500,2019,2,438.065
USGS,8017400,62614,132500,2019,3,438.101
USGS,8017400,62614,132500,2019,4,438.313
USGS,8017400,62614,132500,2019,5,439.195
USGS,8017400,62614,132500,2019,6,438.528
USGS,8017400,62614,132500,2019,7,437.925
USGS,8017400,62614,132500,2019,8,437.064
USGS,8017400,62614,132500,2019,9,436.695
USGS,8017400,62614,132500,2019,10,436.101
USGS,8017400,62614,132500,2019,11,435.969
USGS,8017400,62614,132500,2019,12,435.841
USGS,8017400,62614,132500,2020,1,436.202
USGS,8017400,62614,132500,2020,2,437.725
USGS,8017400,62614,132500,2020,3,438.792
USGS,8017400,62614,132500,2020,4,438.066
USGS,8017400,62614,132500,2020,5,437.913
USGS,8018800,62614,132528,1995,11,400.864
USGS,8018800,62614,132528,1995,12,400.665
USGS,8018800,62614,132528,1996,1,400.655
USGS,8018800,62614,132528,1996,2,400.519
USGS,8018800,62614,132528,1996,3,400.381
USGS,8018800,62614,132528,1996,4,400.318
USGS,8018800,62614,132528,1996,5,400.433
USGS,8018800,62614,132528,1996,6,400.367
USGS,8018800,62614,132528,1996,7,400.155
USGS,8018800,62614,132528,1996,8,400.094
USGS,8018800,62614,132528,1996,9,399.884
USGS,8018800,62614,132528,1997,2,403.003
USGS,8018800,62614,132528,1997,3,402.913
USGS,8018800,62614,132528,1997,4,402.873
USGS,8018800,62614,132528,1997,5,402.889
USGS,8018800,62614,132528,1997,7,402.961
USGS,8018800,62614,132528,1997,8,402.863
USGS,8018800,62614,132528,2000,10,400.606
USGS,8018800,62614,132528,2000,11,402.097
USGS,8018800,62614,132528,2000,12,402.874
USGS,8018800,62614,132528,2001,1,403.108
USGS,8018800,62614,132528,2001,2,403.308
USGS,8018800,62614,132528,2001,3,403.177
USGS,8018800,62614,132528,2001,4,403.005
USGS,8018800,62614,132528,2001,5,402.961
USGS,8018800,62614,132528,2001,6,402.748
USGS,8018800,62614,132528,2001,7,402.467
USGS,8018800,62614,132528,2001,8,401.779
USGS,8018800,62614,132528,2001,9,401.96
USGS,8018800,62614,132528,2001,10,402.53
USGS,8018800,62614,132528,2001,11,402.735
USGS,8018800,62614,132528,2001,12,402.887
USGS,8018800,62614,132528,2002,1,402.593
USGS,8018800,62614,132528,2002,2,403.07
USGS,8018800,62614,132528,2002,3,402.925
USGS,8018800,62614,132528,2002,4,402.816
USGS,8018800,62614,132528,2002,5,402.82
USGS,8018800,62614,132528,2002,6,402.512
USGS,8018800,62614,132528,2002,7,402.372
USGS,8018800,62614,132528,2002,8,401.9
USGS,8018800,62614,132528,2002,9,401.457
USGS,8018800,62614,132528,2002,10,401.727
USGS,8018800,62614,132528,2002,11,402.354
USGS,8018800,62614,132528,2002,12,402.546
USGS,8018800,62614,132528,2003,1,402.586
USGS,8018800,62614,132528,2003,2,402.682
USGS,8018800,62614,132528,2003,3,402.741
USGS,8018800,62614,132528,2003,4,402.782
USGS,8018800,62614,132528,2003,5,402.738
USGS,8018800,62614,132528,2003,6,402.822
USGS,8018800,62614,132528,2003,7,402.516
USGS,8018800,62614,132528,2003,8,402.005
USGS,8018800,62614,132528,2003,9,401.617
USGS,8018800,62614,132528,2003,10,401.091
USGS,8018800,62614,132528,2003,11,400.772
USGS,8018800,62614,132528,2003,12,400.554
USGS,8018800,62614,132528,2004,1,400.515
USGS,8018800,62614,132528,2004,2,400.923
USGS,8018800,62614,132528,2004,3,401.647
USGS,8018800,62614,132528,2004,4,401.943
USGS,8018800,62614,132528,2004,5,403.06
USGS,8018800,62614,132528,2004,6,402.809
USGS,8018800,62614,132528,2004,7,402.55
USGS,8018800,62614,132528,2004,8,402.294
USGS,8018800,62614,132528,2004,9,401.743
USGS,8018800,62614,132528,2004,10,401.546
USGS,8018800,62614,132528,2004,11,401.86
USGS,8018800,62614,132528,2004,12,402.444
USGS,8018800,62614,132528,2005,1,402.644
USGS,8018800,62614,132528,2005,2,402.7
USGS,8018800,62614,132528,2005,3,402.664
USGS,8018800,62614,132528,2005,4,402.854
USGS,8018800,62614,132528,2005,5,402.625
USGS,8018800,62614,132528,2005,6,402.197
USGS,8018800,62614,132528,2005,7,401.643
USGS,8018800,62614,132528,2005,8,401.01
USGS,8018800,62614,132528,2005,9,400.33
USGS,8018800,62614,132528,2005,10,399.755
USGS,8018800,62614,132528,2005,11,399.327
USGS,8018800,62614,132528,2005,12,398.936
USGS,8018800,62614,132528,2006,1,398.792
USGS,8018800,62614,132528,2006,2,398.931
USGS,8018800,62614,132528,2006,3,399.698
USGS,8018800,62614,132528,2006,4,400.623
USGS,8018800,62614,132528,2006,5,400.627
USGS,8018800,62614,132528,2006,6,400.166
USGS,8018800,62614,132528,2006,7,399.677
USGS,8018800,62614,132528,2006,8,398.995
USGS,8018800,62614,132528,2006,9,398.446
USGS,8018800,62614,132528,2006,10,397.947
USGS,8018800,62614,132528,2006,11,397.876
USGS,8018800,62614,132528,2006,12,397.722
USGS,8018800,62614,132528,2007,1,399.946
USGS,8018800,62614,132528,2007,4,401.929
USGS,8018800,62614,132528,2007,5,402.071
USGS,8018800,62614,132528,2007,6,402.807
USGS,8018800,62614,132528,2007,7,403.634
USGS,8018800,62614,132528,2007,8,403.474
USGS,8018800,62614,132528,2007,9,403.214
USGS,8018800,62614,132528,2007,10,402.972
USGS,8018800,62614,132528,2007,11,402.652
USGS,8018800,62614,132528,2007,12,402.62
USGS,8018800,62614,132528,2008,1,402.71
USGS,8018800,62614,132528,2008,2,402.962
USGS,8018800,62614,132528,2008,3,403.144
USGS,8018800,62614,132528,2008,4,402.984
USGS,8018800,62614,132528,2008,5,403.221
USGS,8018800,62614,132528,2008,6,403.562
USGS,8018800,62614,132528,2008,7,403.319
USGS,8018800,62614,132528,2008,8,402.866
USGS,8018800,62614,132528,2008,9,402.732
USGS,8018800,62614,132528,2008,10,402.494
USGS,8018800,62614,132528,2008,11,402.341
USGS,8018800,62614,132528,2008,12,402.209
USGS,8018800,62614,132528,2009,1,402.186
USGS,8018800,62614,132528,2009,2,402.104
USGS,8018800,62614,132528,2009,3,402.443
USGS,8018800,62614,132528,2009,4,402.982
USGS,8018800,62614,132528,2009,5,403.655
USGS,8018800,62614,132528,2009,8,403
USGS,8018800,62614,132528,2009,9,403.061
USGS,8018800,62614,132528,2009,10,403.612
USGS,8018800,62614,132528,2009,12,403.174
USGS,8018800,62614,132528,2010,2,403.216
USGS,8018800,62614,132528,2010,3,403.249
USGS,8018800,62614,132528,2010,4,403.136
USGS,8018800,62614,132528,2010,5,403.171
USGS,8018800,62614,132528,2010,6,402.886
USGS,8018800,62614,132528,2010,7,402.55
USGS,8018800,62614,132528,2010,8,401.765
USGS,8018800,62614,132528,2010,9,400.927
USGS,8018800,62614,132528,2010,10,400.365
USGS,8018800,62614,132528,2010,11,400.065
USGS,8018800,62614,132528,2010,12,399.665
USGS,8018800,62614,132528,2011,1,399.554
USGS,8018800,62614,132528,2011,2,399.742
USGS,8018800,62614,132528,2011,3,399.848
USGS,8018800,62614,132528,2011,4,399.704
USGS,8018800,62614,132528,2011,5,399.574
USGS,8018800,62614,132528,2011,6,399.132
USGS,8018800,62614,132528,2011,7,398.354
USGS,8018800,62614,132528,2011,8,397.427
USGS,8018800,62614,132528,2011,9,396.521
USGS,8018800,62614,132528,2011,10,395.842
USGS,8018800,62614,132528,2011,11,395.404
USGS,8018800,62614,132528,2011,12,395.583
